strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
probe_cascade,SEPs_ridge,0.21572834335417934,13.007968911418208,0.452,0.69,0.6900000000000001
probe_cascade,SEPs_ridge,0.23400846432320538,13.181997446366298,0.45,0.7,0.7000000000000001
probe_cascade,SEPs_ridge,0.25857502523224374,13.356025981314387,0.45,0.71,0.71
probe_cascade,SEPs_ridge,0.28615009692380344,13.530054516262478,0.452,0.72,0.72
probe_cascade,SEPs_ridge,0.3128305200402359,13.704083051210567,0.454,0.73,0.73
probe_cascade,SEPs_ridge,0.3523524685514012,13.878111586158658,0.456,0.74,0.74
probe_cascade,SEPs_ridge,0.3678044477442916,14.052140121106747,0.454,0.75,0.75
probe_cascade,SEPs_ridge,0.3950165039945393,14.226168656054838,0.454,0.76,0.76
probe_cascade,SEPs_ridge,0.40341670643865896,14.400197191002928,0.454,0.77,0.77
probe_cascade,SEPs_ridge,0.4176613941444017,14.574225725951019,0.452,0.78,0.78
probe_cascade,SEPs_ridge,0.44490094074762526,14.748254260899108,0.452,0.79,0.79
probe_cascade,SEPs_ridge,0.49360802089915917,14.922282795847199,0.456,0.8,0.8
probe_cascade,SEPs_ridge,0.5180272403228039,15.096311330795288,0.46,0.81,0.81
probe_cascade,SEPs_ridge,0.5380480862069641,15.270339865743379,0.46,0.82,0.8200000000000001
probe_cascade,SEPs_ridge,0.5716050450409811,15.444368400691468,0.462,0.83,0.8300000000000001
probe_cascade,SEPs_ridge,0.5844693223052223,15.61839693563956,0.466,0.84,0.84
probe_cascade,SEPs_ridge,0.6274724417203983,15.792425470587649,0.464,0.85,0.85
probe_cascade,SEPs_ridge,0.6495198910356176,15.966454005535738,0.462,0.86,0.86
probe_cascade,SEPs_ridge,0.692303431783181,16.140482540483827,0.464,0.87,0.87
probe_cascade,SEPs_ridge,0.7039616306103715,16.314511075431916,0.462,0.88,0.88
probe_cascade,SEPs_ridge,0.7502300168801475,16.48853961038001,0.464,0.89,0.89
probe_cascade,SEPs_ridge,0.7940373343374316,16.6625681453281,0.466,0.9,0.9
probe_cascade,SEPs_ridge,0.8327435908045144,16.83659668027619,0.464,0.91,0.91
probe_cascade,SEPs_ridge,0.8817871228408514,17.010625215224277,0.466,0.92,0.92
probe_cascade,SEPs_ridge,0.931701024652304,17.18465375017237,0.468,0.93,0.93
probe_cascade,SEPs_ridge,0.9566976837143706,17.358682285120455,0.466,0.94,0.9400000000000001
probe_cascade,SEPs_ridge,1.0114720917870537,17.532710820068548,0.468,0.95,0.9500000000000001
probe_cascade,SEPs_ridge,1.1091031970482443,17.706739355016637,0.468,0.96,0.96
probe_cascade,SEPs_ridge,1.240027101256193,17.88076788996473,0.466,0.97,0.97
probe_cascade,SEPs_ridge,1.317817735290771,18.054796424912816,0.468,0.98,0.98
probe_cascade,SEPs_ridge,1.439163308852777,18.22882495986091,0.47,0.99,0.99
probe_cascade,SEPs_ridge,3.2133895746333003,18.402853494808998,0.472,1.0,1.0
random_cascade,,0.0,18.402853494808998,0.47200000000000003,1.0,
