auc_positive_high,cohen_d,comparison,feature,negative_count,negative_mean,positive_count,positive_mean
0.47362829978222765,-0.039138235515938466,pure_correct_vs_pure_wrong,delta_qwen_factual_residual_vs_sample0,804,-0.004121162820205941,281,-0.0270971311761496
0.5303708326693932,0.17341318645174825,pure_correct_vs_pure_wrong,delta_riemann_curvature_proxy_vs_sample0,804,-0.042499730906305745,281,-0.005005166275260181
0.528374586144013,0.17302908017168464,pure_correct_vs_pure_wrong,delta_wf_prob_min_mean_vs_sample0,804,-0.03296318195660979,281,-0.007659899986842958
0.2886036897363715,-0.6414997994499831,pure_correct_vs_pure_wrong,distance_to_sample0_entropy_logprob,804,1.3854125805135808,281,0.6278846643000687
0.412100972008286,-0.21816750766263737,pure_correct_vs_pure_wrong,fact_answer_specificity,804,0.40939054726368157,281,0.37624555160142376
0.4337210743435846,-0.34025720325450276,pure_correct_vs_pure_wrong,fact_consensus_overlap,804,0.9601191473907584,281,0.907323551799724
0.5662789256564155,0.3402572032545038,pure_correct_vs_pure_wrong,fact_internal_dispersion_proxy,804,0.03988085260924156,281,0.09267644820027614
0.4986787592287672,-0.008017440816899158,pure_correct_vs_pure_wrong,fact_numeric_alignment,804,0.9832089552238806,281,0.9822064056939501
0.548874842867513,0.19251460271857979,pure_correct_vs_pure_wrong,fact_proxy_residual,804,0.36160110595342015,281,0.38909528242712366
0.4730993608470105,-0.07013339161395732,pure_correct_vs_pure_wrong,fact_question_entity_coverage,804,0.4770936981757883,281,0.45373665480427045
0.5579929533825534,0.19889915820042944,pure_correct_vs_pure_wrong,fact_unsupported_entity_density_proxy,804,0.6452331595988323,281,0.6991272665649892
0.20625520086400737,-1.3292463481470858,pure_correct_vs_pure_wrong,fragmentation_entropy,804,1.457199618671664,281,0.5645854430837993
0.5734074290469361,0.39831823642742176,pure_correct_vs_pure_wrong,hidden_riemann_anisotropy,804,0.08775527360995274,281,0.204089657488103
0.5829615268851472,0.5027974310265375,pure_correct_vs_pure_wrong,hidden_riemann_curvature_proxy,804,0.04384674266626674,281,0.15244982247045835
0.5746556364087038,0.39085951927899926,pure_correct_vs_pure_wrong,hidden_riemann_effective_dim,804,0.17717076886375646,281,0.4487991939936374
0.5809298702218445,0.48642354365562146,pure_correct_vs_pure_wrong,hidden_riemann_geodesic_distortion,804,0.09616476198586098,281,0.27371561403424693
0.5721083196119049,0.29220610985329126,pure_correct_vs_pure_wrong,hidden_riemann_knn_density,804,0.05704809286898838,281,0.11256566683612942
0.5722920097023778,0.26609034343786797,pure_correct_vs_pure_wrong,hidden_riemann_local_radius,804,4.6834140650010125,281,9.496144024584478
0.329555514243728,-0.5270183954252029,pure_correct_vs_pure_wrong,qwen_contradiction_risk,804,0.41735839856940843,281,0.24215247206859294
0.3441289991324516,-0.4605567794066579,pure_correct_vs_pure_wrong,qwen_factual_residual,804,0.9099035999157231,281,0.6170275287982234
0.31992395672881146,-0.7168139978216009,pure_correct_vs_pure_wrong,qwen_missing_constraint_risk,804,0.757693992455059,281,0.5807757603528236
0.6909358899452913,0.2813129836640518,pure_correct_vs_pure_wrong,qwen_supported_score,804,0.6776225955965106,281,0.7944365874124849
0.7373630070289123,1.1369497439973628,pure_correct_vs_pure_wrong,riemann_anisotropy,804,0.15138150040518253,281,0.582751608838538
0.5878105026469078,0.4827710124380892,pure_correct_vs_pure_wrong,riemann_curvature_proxy,804,0.03819394306611029,281,0.13874669803207879
0.7217294311361343,0.36990457344310596,pure_correct_vs_pure_wrong,riemann_effective_dim,804,0.16581146171657055,281,0.42935416012656724
0.5735313645296648,0.485212203531824,pure_correct_vs_pure_wrong,riemann_geodesic_distortion,804,0.08196834778391399,281,0.2506473491881173
0.5591482091322746,0.2108869850035363,pure_correct_vs_pure_wrong,riemann_knn_density,804,0.05323975361288793,281,0.09142518217251315
0.5597634602786777,0.23085753489141486,pure_correct_vs_pure_wrong,riemann_local_radius,804,0.04956092305134087,281,0.09184405731184665
0.790234769214426,1.2665455553921785,pure_correct_vs_pure_wrong,stable_score,804,0.26364290691228337,281,0.5332646542852785
